BC 807-40W SMD;1
BC 817-40 SMD;1
KEM X7R1206 10U;2
KEM X7R1206 2,2U;1
KEM Y5V1206 1,0U;2
LM 1117 IMP-3.3;1
RND 0805 1 1,5K;1
RND 0805 1 10;2
RND 0805 1 100;3
RND 0805 1 22;1
RND 0805 1 36K;1
RND 1206 1 10K;3
RND 1206 1 2,2K;2
SL 1X10G 1,27;1
SL 2X10G SMD2,54;2
SMD 1/4W 4,7;1
SMD 1/4W 4,7K;3
SMD-0805 10,0K;2
STM32 F103C8T6;1
TASTER 9313;1
X7R-G0805 100N;8
X7R-G1206 100N;1
XO32 8,00000;1
